Measure,Slope,min,max
Bias,All,-5.850412210933561,5.850412210933561
Bias,None,-3.3065557402368047,3.3065557402368047
Bias,Only,-5.850412210933561,5.850412210933561
Coverage,All,0,1
Coverage,None,0,1
Coverage,Only,0,1
EmpSE,All,0,2.187186527466969
EmpSE,None,0,0.4059623742733566
EmpSE,Only,0,2.187186527466969
