Model,it,KM_Bias_Est,KM_EmpSE_Est,KM_Coverage_Est,KM_Bias_SE,KM_EmpSE_SE,KM_Coverage_SE,Pseudo_Bias_Est,Pseudo_EmpSE_Est,Pseudo_Coverage_Est,Pseudo_Bias_SE,Pseudo_EmpSE_SE,Pseudo_Coverage_SE,Pseudo.Slope_Bias_Est,Pseudo.Slope_EmpSE_Est,Pseudo.Slope_Coverage_Est,Pseudo.Slope_Bias_SE,Pseudo.Slope_EmpSE_SE,Pseudo.Slope_Coverage_SE,Unweighted_Bias_Est,Unweighted_EmpSE_Est,Unweighted_Coverage_Est,Unweighted_Bias_SE,Unweighted_EmpSE_SE,Unweighted_Coverage_SE,Unweighted.Slope_Bias_Est,Unweighted.Slope_EmpSE_Est,Unweighted.Slope_Coverage_Est,Unweighted.Slope_Bias_SE,Unweighted.Slope_EmpSE_SE,Unweighted.Slope_Coverage_SE,Weighted_Bias_Est,Weighted_EmpSE_Est,Weighted_Coverage_Est,Weighted_Bias_SE,Weighted_EmpSE_SE,Weighted_Coverage_SE,Weighted.Slope_Bias_Est,Weighted.Slope_EmpSE_Est,Weighted.Slope_Coverage_Est,Weighted.Slope_Bias_SE,Weighted.Slope_EmpSE_SE,Weighted.Slope_Coverage_SE
U,72,0.26388650461697477,0.006609177986623722,0,6.609177986623721e-4,4.696938270899695e-4,0,-1.061781608320887,0.04369937421572135,0,0.004369937421572135,0.003105579295694561,0,-0.6346984574923691,0.017681771372509713,0,0.0017681771372509713,0.001256588774351732,0,0.41629072983196225,0.029723719964663334,0,0.0029723719964663336,0.0021123727964065943,0,0.3285407880892566,0.04214858678894959,0,0.004214858678894959,0.0029953696322602237,0,-0.0032375882849596045,0.04764450787413311,0.66,0.004764450787413311,0.0033859477363919004,0.002244,0.009154013514554719,0.07804383322475615,0.34,0.0078043833224756155,0.005546333716885268,0.002244
U,73,0.26447455434533584,0.006541005367487232,0,6.541005367487233e-4,4.648490100113903e-4,0,-1.0646088644506575,0.043100461018109076,0,0.0043100461018109075,0.0030630163881059727,0,-0.6297397959861785,0.017910335231058113,0,0.0017910335231058113,0.0012728321004769059,0,0.41754487237655213,0.029717680290839835,0,0.0029717680290839836,0.0021119435754780196,0,0.3303384524257659,0.04257495996643617,0,0.004257495996643617,0.003025670654551876,0,-0.0047153104462616426,0.04768701825787,0.66,0.004768701825787,0.0033889688178136528,0.002244,0.005953477973933633,0.08063842688756108,0.33,0.008063842688756108,0.005730723459405847,0.002211
U,74,0.26504273554874175,0.006557170561753959,0,6.557170561753958e-4,4.659978203439548e-4,0,-1.0675318936981677,0.04314044650270449,0,0.004314044650270449,0.003065858032759162,0,-0.6247629972537676,0.018135960043577044,0,0.0018135960043577045,0.0012888665576957846,0,0.4192438814396858,0.029429332139293166,0,0.0029429332139293165,0.002091451564654831,0,0.3316585768583153,0.04179335444718133,0,0.004179335444718133,0.0029701243690143323,0,-0.005506829003945681,0.047223558846805326,0.59,0.004722355884680533,0.0033560321916667403,0.002419,0.0033260079158318047,0.08156809626223749,0.42,0.00815680962622375,0.005796792184957474,0.0024360000000000002
U,75,0.26552097609053543,0.006503622452584139,0,6.503622452584139e-4,4.6219232193245687e-4,0,-1.0700695791245591,0.042884068555376166,0,0.004288406855537616,0.0030476380454164355,0,-0.619762655929694,0.018155696143833,0,0.0018155696143833,0.0012902691412666632,0,0.42095249794053907,0.029387606378451118,0,0.0029387606378451117,0.0020884862439541616,0,0.33387000147092294,0.04151378855730956,0,0.004151378855730956,0.0029502564863512475,0,-0.00435560589539321,0.0458981314392781,0.63,0.0045898131439278105,0.0032618381674126857,0.002331,0.0037266417323675405,0.0831162985502872,0.39,0.008311629855028719,0.005906818130582672,0.002379
U,76,0.26608090578303206,0.0064998749422055975,0,0.00064998749422055975,4.619259979667051e-4,0,-1.0731829058987168,0.04264966249915391,0,0.004264966249915391,0.003030979532381543,0,-0.6146174279079973,0.018275758505866505,0,0.0018275758505866505,0.0012988016017976265,0,0.42235547701768844,0.02899452884785505,0,0.0028994528847855047,0.002060551440252036,0,0.3357608844595131,0.041236658497225936,0,0.004123665849722594,0.0029305617105734134,0,-0.003692079029111391,0.04423757316056494,0.69,0.004423757316056494,0.003143827429222057,0.0021390000000000003,0.004517285930810937,0.08401967087525686,0.41,0.008401967087525686,0.005971018006189127,0.002419
U,77,0.2666067932998598,0.006466881344877721,0,6.466881344877721e-4,4.5958124510488786e-4,0,-1.076387880472889,0.042987599722054806,0,0.00429875997220548,0.0030549956850501082,0,-0.6095727876590726,0.01836261155516512,0,0.001836261155516512,0.0013049739792403378,0,0.4241699366275201,0.028482152819522405,0,0.0028482152819522405,0.0020241384614907154,0,0.3366669788494285,0.04190418303465218,0,0.004190418303465218,0.0029780006137614876,0,-0.004207631046688597,0.04440647469601222,0.68,0.004440647469601222,0.0031558307386723647,0.002176,0.002354794644872167,0.08538573768153196,0.4,0.008538573768153196,0.006068100146751618,0.0024
U,78,0.26699731280451916,0.00660697223318163,0,6.60697223318163e-4,4.695370710186503e-4,0,-1.0783791488436514,0.04377503488342426,0,0.004377503488342426,0.0031109562652126294,0,-0.6047763807274233,0.018849708893807774,0,0.0018849708893807775,0.001339590479751513,0,0.4261621168859662,0.029273929235348575,0,0.0029273929235348575,0.0020804075611732544,0,0.3373181208157295,0.04313786513446935,0,0.004313786513446935,0.003065674582906859,0,-0.005437585447146576,0.044768684575490755,0.69,0.004476868457549075,0.003181571873930999,0.0021390000000000003,-0.0024044598465949294,0.08773028180770057,0.41,0.008773028180770057,0.00623471964249378,0.002419
U,79,0.2675592485736144,0.00659915251986851,0,6.599152519868509e-4,4.68981348191966e-4,0,-1.0813820718669969,0.043436007935232356,0,0.004343600793523235,0.003086862669139839,0,-0.5996497418473083,0.018839046407169206,0,0.0018839046407169205,0.001338832729821688,0,0.4272342319654578,0.02900110413611115,0,0.002900110413611115,0.002061018725640851,0,0.3383690649249948,0.04376801559893043,0,0.004376801559893043,0.003110457426385167,0,-0.0063031686819196376,0.044674000813067175,0.71,0.004467400081306717,0.003174842991939015,0.002059,-0.004151027001978629,0.0881522606656249,0.46,0.00881522606656249,0.006264708374092576,0.0024840000000000005
U,80,0.26815874880911567,0.0066748560714774575,0,6.674856071477457e-4,4.743613653365299e-4,0,-1.0845860264240867,0.043761012658747704,0,0.00437610126587477,0.0031099597490973157,0,-0.594440410989256,0.019005599791803714,0,0.0019005599791803713,0.0013506691634601975,0,0.42822827798781643,0.0292845814814644,0,0.00292845814814644,0.002081164583340818,0,0.3397623738621173,0.044311504727895856,0,0.004431150472789585,0.003149081516927472,0,-0.006333537506643054,0.04635419459526686,0.66,0.004635419459526686,0.00329424916459942,0.002244,-0.00379020555825447,0.08789188177558935,0.41,0.008789188177558934,0.006246204052132757,0.002419
U,81,0.2686951607645906,0.006758136391607291,0,6.758136391607292e-4,4.8027983997319827e-4,0,-1.0879727461621267,0.0441388997567169,0,0.00441388997567169,0.0031368150157601742,0,-0.5892291698240655,0.019398260819688228,0,0.0019398260819688228,0.0013785743676035004,0,0.4295871007503918,0.029154225538025054,0,0.0029154225538025056,0.0020719005898333248,0,0.34183897349917775,0.04418890175817783,0,0.004418890175817783,0.003140368503270402,0,-0.00308898733093796,0.0458894196940069,0.69,0.00458894196940069,0.0032612190506351763,0.0021390000000000003,0.002740556013852732,0.08431568860089651,0.45,0.008431568860089651,0.005992055069909238,0.002475
