b,g,e,iter,time.taken
-0.5,-2,-0.5,4,343795
-0.5,-2,-0.5,4,441315
-0.5,-2,-0.5,4,151845
-0.5,-2,-0.5,68,448527
-0.5,-2,0,1,243399
-0.5,-2,0,2,266291
-0.5,-2,0,2,408917
-0.5,-2,0,3,391700
-0.5,-2,0,3,350981
-0.5,-2,0,3,403147
-0.5,-2,0,3,361373
-0.5,-2,0,3,141699
-0.5,-2,0,4,347732
-0.5,-2,0,4,352976
-0.5,-2,0,4,165676
-0.5,-2,0,4,395071
-0.5,-2,0,67,324501
-0.5,-2,0,68,513952
-0.5,-2,0.5,1,324090
-0.5,-2,0.5,2,623075
-0.5,-2,0.5,2,259214
-0.5,-2,0.5,3,636588
-0.5,-2,0.5,3,410297
-0.5,-2,0.5,3,329716
-0.5,-2,0.5,3,146605
-0.5,-2,0.5,3,333863
-0.5,-2,0.5,35,107889
-0.5,-2,0.5,67,290630
-0.5,-2,0.5,68,398817
-0.5,0,-0.5,1,918015
-0.5,0,-0.5,2,420212
-0.5,0,-0.5,2,447315
-0.5,0,-0.5,2,440624
-0.5,0,-0.5,2,165715
-0.5,0,-0.5,3,456153
-0.5,0,-0.5,3,122075
-0.5,0,-0.5,3,408417
-0.5,0,-0.5,3,451125
-0.5,0,-0.5,4,179033
-0.5,0,-0.5,4,297357
-0.5,0,-0.5,4,313958
-0.5,0,-0.5,4,448044
-0.5,0,-0.5,5,455741
-0.5,0,-0.5,5,418598
-0.5,0,-0.5,5,437273
-0.5,0,-0.5,5,355030
-0.5,0,-0.5,6,397808
-0.5,0,-0.5,6,334997
-0.5,0,0,1,293390
-0.5,0,0,2,438854
-0.5,0,0,2,354191
-0.5,0,0,2,423333
-0.5,0,0,2,456890
-0.5,0,0,3,383772
-0.5,0,0,3,2007673
-0.5,0,0,3,121808
-0.5,0,0,3,376172
-0.5,0,0,34,346847
-0.5,0,0,4,351951
-0.5,0,0,4,363410
-0.5,0,0,68,208276
-0.5,0,0.5,1,301014
-0.5,0,0.5,10,94213
-0.5,0,0.5,11,101774
-0.5,0,0.5,12,104389
-0.5,0,0.5,13,97789
-0.5,0,0.5,14,98858
-0.5,0,0.5,15,95051
-0.5,0,0.5,16,92884
-0.5,0,0.5,17,103028
-0.5,0,0.5,18,95215
-0.5,0,0.5,19,97193
-0.5,0,0.5,2,281339
-0.5,0,0.5,20,103733
-0.5,0,0.5,21,94660
-0.5,0,0.5,22,104090
-0.5,0,0.5,23,106432
-0.5,0,0.5,24,95692
-0.5,0,0.5,25,99935
-0.5,0,0.5,26,98773
-0.5,0,0.5,27,104551
-0.5,0,0.5,28,101235
-0.5,0,0.5,29,105048
-0.5,0,0.5,3,303601
-0.5,0,0.5,30,94976
-0.5,0,0.5,31,100045
-0.5,0,0.5,32,98311
-0.5,0,0.5,33,100237
-0.5,0,0.5,34,207657
-0.5,0,0.5,35,335511
-0.5,0,0.5,36,246215
-0.5,0,0.5,37,280168
-0.5,0,0.5,38,320904
-0.5,0,0.5,4,247217
-0.5,0,0.5,5,319507
-0.5,0,0.5,6,180841
-0.5,0,0.5,68,319174
-0.5,0,0.5,69,282803
-0.5,0,0.5,7,101055
-0.5,0,0.5,70,296304
-0.5,0,0.5,71,288036
-0.5,0,0.5,72,177762
-0.5,0,0.5,8,94812
-0.5,0,0.5,9,107077
-0.5,0.5,-0.5,1,830792
-0.5,0.5,-0.5,2,363611
-0.5,0.5,-0.5,2,449000
-0.5,0.5,-0.5,2,462441
-0.5,0.5,-0.5,2,452227
-0.5,0.5,-0.5,2,362143
-0.5,0.5,-0.5,3,403203
-0.5,0.5,-0.5,3,401425
-0.5,0.5,-0.5,3,346880
-0.5,0.5,-0.5,3,125937
-0.5,0.5,-0.5,3,439625
-0.5,0.5,-0.5,35,133303
-0.5,0.5,-0.5,4,457688
-0.5,0.5,-0.5,4,334021
-0.5,0.5,-0.5,4,392122
-0.5,0.5,-0.5,4,170629
-0.5,0.5,-0.5,5,372245
-0.5,0.5,-0.5,5,323317
-0.5,0.5,-0.5,5,387635
-0.5,0.5,-0.5,5,345447
-0.5,0.5,-0.5,68,385625
-0.5,0.5,0,1,283017
-0.5,0.5,0,2,452000
-0.5,0.5,0,2,324102
-0.5,0.5,0,2,401000
-0.5,0.5,0,3,368473
-0.5,0.5,0,3,125248
-0.5,0.5,0,3,352869
-0.5,0.5,0,3,301805
-0.5,0.5,0,35,114891
-0.5,0.5,0,4,410151
-0.5,0.5,0,4,368312
-0.5,0.5,0,4,428004
-0.5,0.5,0,4,305213
-0.5,0.5,0,4,356095
-0.5,0.5,0,4,205731
-0.5,0.5,0,68,245279
-0.5,0.5,0.5,1,296869
-0.5,0.5,0.5,1,314662
-0.5,0.5,0.5,1,342020
-0.5,0.5,0.5,1,405339
-0.5,0.5,0.5,1,404620
-0.5,0.5,0.5,2,413157
-0.5,0.5,0.5,2,305514
-0.5,0.5,0.5,2,394974
-0.5,0.5,0.5,3,388936
-0.5,0.5,0.5,3,375297
-0.5,0.5,0.5,3,649223
-0.5,0.5,0.5,3,328383
-0.5,0.5,0.5,3,163773
-0.5,0.5,0.5,34,354998
-0.5,0.5,0.5,35,119009
-0.5,0.5,0.5,4,332763
-0.5,0.5,0.5,4,353694
-0.5,0.5,0.5,68,370375
-0.5,1,-0.5,1,362579
-0.5,1,-0.5,1,443496
-0.5,1,-0.5,1,442828
-0.5,1,-0.5,1,394435
-0.5,1,-0.5,1,372809
-0.5,1,-0.5,1,363433
-0.5,1,-0.5,2,408137
-0.5,1,-0.5,2,441799
-0.5,1,-0.5,2,320133
-0.5,1,-0.5,3,118692
-0.5,1,-0.5,3,2044752
-0.5,1,-0.5,3,354374
-0.5,1,-0.5,35,118729
-0.5,1,-0.5,4,324555
-0.5,1,-0.5,4,881607
-0.5,1,-0.5,4,226013
-0.5,1,-0.5,4,373753
-0.5,1,-0.5,5,388271
-0.5,1,-0.5,5,357349
-0.5,1,-0.5,5,432635
-0.5,1,-0.5,68,326654
-0.5,1,0,1,325300
-0.5,1,0,1,396911
-0.5,1,0,1,330043
-0.5,1,0,1,306417
-0.5,1,0,1,390600
-0.5,1,0,2,405519
-0.5,1,0,2,284882
-0.5,1,0,2,360750
-0.5,1,0,2,317073
-0.5,1,0,3,338956
-0.5,1,0,3,294034
-0.5,1,0,3,119587
-0.5,1,0,3,312215
-0.5,1,0,34,332091
-0.5,1,0,4,360911
-0.5,1,0,4,356043
-0.5,1,0,4,189615
-0.5,1,0,4,369781
-0.5,1,0,5,1792090
-0.5,1,0,5,302623
-0.5,1,0,5,386949
-0.5,1,0,5,419144
-0.5,1,0.5,1,905421
-0.5,1,0.5,1,298159
-0.5,1,0.5,1,373471
-0.5,1,0.5,2,350258
-0.5,1,0.5,2,389536
-0.5,1,0.5,3,332750
-0.5,1,0.5,3,196973
-0.5,1,0.5,3,370349
-0.5,1,0.5,3,385975
-0.5,1,0.5,3,472528
-0.5,1,0.5,35,114730
-0.5,1,0.5,4,617362
-0.5,1,0.5,4,300485
-0.5,1,0.5,4,341531
-0.5,1,0.5,67,263198
-0.5,1.5,-0.5,1,413383
-0.5,1.5,-0.5,2,414076
-0.5,1.5,-0.5,2,447355
-0.5,1.5,-0.5,2,329347
-0.5,1.5,-0.5,2,384800
-0.5,1.5,-0.5,2,147130
-0.5,1.5,-0.5,2,445753
-0.5,1.5,-0.5,3,367213
-0.5,1.5,-0.5,3,1583911
-0.5,1.5,-0.5,3,439053
